,HTLC,FEE_BASE,FEE_RATE
03a5b53a655d1f89523fa9c3217d38f0733b177799672a42faaf68c7e5daba0f69,['1000'],['1000'],['1']
03884478244578a7c8004b1eef1c94482f990b566290248f0feeaf43445b593ba8,['1000'],['1000'],['1']
03d9af53ea42dcb2754f62a3bd9e33330c30cf89178185c0cfc173b3a22214a2d3,['1000'],['0'],['1']
03120795f18fe3c9122dc8946417b975f9dbcf70f284aa34d6bccd887aab1529bc,['1000'],['0'],['1']
032732c11f102d972be7ae52a8f479a1210497a807dbc82f2ac84576a02ebddd1c,['1000'],['0'],['1']
0246a945aa305915a7fb7a23ae7fffe28fed61e47da29a10439111b9daf08d01b5,['1000'],['0'],['1']
03639ff109839fcc1d7cdbd17e11329a4013b032139f63854a8fa1a3d2c246b583,['1000'],['0'],['1']
02f96aeb2b9954492eac250fe7c6f3b8e66a49ad55ed7397645cafa5ec0e687c7d,['1000'],['1000'],['1']
03454c6d918f52f1a644aee76d1b98d60cafc60d62dbe625e55ee9d2b6344545b6,['1000'],['0'],['0']
03f663b498c2a4394331aac53f860e8c4c1e46dfc4bc67dc4b8075c3a584e60456,['1000'],['0'],['0']
02cb44d95042374782c184739d6739bdeeb0998efa73f6655e93a0ccdc39aaa282,['1000'],['1000'],['1']
02be41f222db43f986eca69eb2fcbccd486b361e8a5940988d6f7076ae4ee6e29e,['1000'],['1000'],['1']
036cef5e13ee25d38b55ddef6fd0e0d442a13807bddb219a844e9ec52bf5a19e0b,['1000'],['1000'],['1']
03da97ca927ea3bfde331d5bb3ea150073425a00be49930b1dc9271cf1a15f160a,"['1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000']","['1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000']","['100', '100', '100', '100', '100', '100', '100', '100', '100', '100']"
0361cec80604dfb63100f64a826721b676d0e793694e343e3ce903a0daa8fb2033,['1000'],['1000'],['1']
03e924d32d77b72335d470e7c79ccf80ce12697c8dd6bc17bcf41c06d0ddf93c2a,['1000'],['1000'],['70']
035eea9c303dd0d81ee22a78037f5cea1820d9377c8be1fa731857d6524939cbd2,['1000'],['1000'],['1']
